498,4.711
595,4.106
517.4,4.865
475.9333333,6.454
479.9333333,6.233
526.1333333,6.676
422.0666667,6.663
476.6666667,6.663
467.1333333,4.351
532.7333333,4.441
454.3333333,6.56
390.2666667,6.69
489,6.702
523.6,6.652
474.7333333,6.084
454.8666667,6.597
404.1333333,6.788
512.4,7.163
466.4,7.033
493.0666667,6.775
490.5333333,6.672
423.7333333,6.666
421.6666667,6.675
466.5333333,6.621
516.4666667,5.966
651.5333333,7.058
628.1333333,8.503
974.7333333,12.224
753.5333333,12.636
876,13.224
803.7333333,10.716
752.1333333,10.54
536.8,10.477
501.8666667,13.079
462.4666667,10.503
393.0666667,12.989
359.7333333,6.951
348.4,6.775
283.8666667,6.338
231.7333333,6.398
251.5333333,5.149
229.9333333,5.256
105.4666667,5.845
115,5.767
288.0666667,5.518
468.4,5.883
356.5333333,5.887
82.46666667,5.894
179.2,5.945
89.26666667,5.716
294.0666667,5.417
242.5333333,6.205
-92.8,6.437
-211.4,6.244
-190.8666667,6.227
135.4666667,5.986
259.2,6.631
-33.4,6.417
-107.4666667,6.672
-133.8,6.522
84.26666667,6.657
210.8666667,6.432
143.4,6.151
48.06666667,6.573
76.13333333,6.789
217.7333333,7.336
269.4,9.219
296.3333333,12.483
705.0666667,12.289
235.0666667,11.884
257,11.185
472.2666667,7.699
613,8.545
496.6,8.796
939.2666667,8.351
1114.2,8.136
915.4,8.009
808,8.308
516.9333333,6.726
574.4,8.626
660.4,6.829
784.2666667,6.655
740.7333333,8.464
615.8666667,8.806
635.8,6.574
672.8,5.563
665.3333333,5.033
604.8,5.619
665.0666667,7.24
674.6666667,5.378
491.8666667,3.688
768.6,4.531
727.5333333,4.715
609.7333333,5.105
520.6,4.654
454.8,4.285
